date,ensemble
2022-05-17,9375230441.984797
2022-05-18,9376056245.103949
2022-05-19,9377423116.644394
2022-05-20,9377115322.799644
2022-05-23,9373222056.97419
2022-05-24,9377613842.389858
2022-05-25,9390955608.955725
2022-05-26,9393280704.15314
2022-05-27,9406692110.797297
2022-05-30,9415262122.897873
2022-05-31,9411896705.526712
2022-06-01,9421268568.78576
2022-06-02,9412800127.73726
2022-06-03,9408875586.693562
2022-06-06,9408997758.64742
2022-06-07,9417793083.479328
2022-06-08,9429085211.77724
2022-06-09,9427926675.717216
2022-06-10,9398352564.733965
2022-06-13,9324910988.202105
2022-06-14,9328583187.345266
2022-06-15,9309592689.531689
2022-06-16,9353450974.494062
2022-06-17,9347405316.631603
2022-06-20,9283686722.012247
2022-06-21,9267731661.860264
2022-06-22,9265058900.733955
2022-06-23,9266634561.002338
2022-06-24,9266872913.554058
2022-06-27,9270440334.314545
2022-06-28,9275293552.89692
2022-06-29,9273555135.027351
2022-06-30,9264428155.750809
2022-07-01,9265665889.187456
2022-07-04,9264158020.124952
2022-07-05,9251055388.041416
2022-07-06,9230168343.906729
2022-07-07,9244369674.10964
2022-07-08,9252369009.79256
2022-07-11,9239113434.625126
2022-07-12,9254952693.09441
2022-07-13,9257329800.825668
2022-07-14,9268278760.863005
2022-07-15,9263066977.823006
2022-07-18,9262785017.95012
2022-07-19,9265853061.920414
2022-07-20,9282853767.755323
2022-07-21,9285776496.276772
2022-07-22,9283028292.469986
2022-07-25,9278171187.393057
2022-07-26,9274936088.01458
2022-07-27,9285994137.46976
2022-07-28,9301476947.490732
2022-07-29,9281358206.628742
2022-08-01,9324034131.718033
2022-08-02,9334817490.787403
2022-08-03,9346377020.590595
2022-08-04,9343151169.415594
2022-08-05,9337460059.647743
2022-08-08,9342695812.872976
2022-08-09,9339970817.887884
2022-08-10,9344236678.852177
2022-08-11,9340077170.917303
2022-08-12,9358795577.89607
2022-08-15,9372833828.76889
2022-08-16,9374472423.327991
2022-08-17,9374357926.673964
2022-08-18,9370156560.039652
2022-08-19,9356344477.55471
2022-08-22,9349235215.143156
2022-08-23,9372902590.475767
2022-08-24,9385321416.61718
2022-08-25,9405542202.564636
2022-08-26,9388277600.896008
2022-08-29,9362066090.011305
2022-08-30,9376626877.3572
2022-08-31,9365385903.73258
2022-09-05,9374871108.534882
2022-09-06,9366154533.40492
2022-09-07,9271449338.50874
2022-09-08,9255280352.386122
2022-09-09,9297741006.428976
2022-09-12,9284476028.444654
2022-09-13,9276648470.26315
2022-09-14,9274186929.805729
2022-09-15,9284096633.57528
2022-09-16,9244558556.84711
2022-09-19,9197605844.19698
2022-09-20,9235701618.747437
2022-09-21,9207921736.277428
2022-09-22,9207776991.199797
2022-09-23,9168924744.536167
2022-09-26,9063470195.425978
2022-09-27,9028296560.25862
2022-09-28,8966159447.907751
2022-09-29,8908598071.985785
2022-09-30,8925939503.401628
2022-10-03,8751857930.58345
2022-10-04,8698303249.061441
2022-10-05,8787213988.909977
2022-10-06,8661690443.778673
2022-10-07,8518950042.064947
2022-10-10,8540829415.404108
2022-10-11,8409293733.117138
2022-10-12,8518705721.596239
2022-10-13,8560607341.126738
2022-10-14,8586741430.516737
2022-10-17,8569351092.469892
2022-10-18,8651449959.256598
2022-10-19,8625568317.257927
2022-10-20,8642081032.928413
2022-10-21,8464693089.622517
2022-10-24,8329071776.525842
2022-10-25,8391193191.619543
2022-10-26,8400428962.696964
2022-10-27,8558483912.664467
2022-10-28,8529106693.170248
2022-10-31,8516129037.369488
2022-11-01,8535983951.060951
2022-11-02,8469903393.721573
2022-11-03,8501783701.475208
2022-11-04,8405762786.610537
2022-11-07,8320024012.750199
2022-11-08,8341848167.295362
2022-11-09,8334817158.156003
2022-11-10,8173780968.10867
2022-11-11,8215430139.135107
2022-11-14,8210265669.803386
2022-11-15,8208573963.524915
2022-11-16,8210300958.085726
2022-11-17,8212000339.289003
2022-11-18,8213536844.207969
2022-11-21,8212902015.771042
2022-11-22,8213975311.455059
2022-11-23,8211416467.010926
2022-11-24,8211135974.06755
2022-11-25,8216358477.999389
2022-11-28,8222812072.954523
2022-11-29,8229456764.466368
2022-11-30,8235683951.248926
2022-12-01,8234961383.768303
2022-12-02,8248843185.099541
2022-12-05,8258981113.174181
2022-12-06,8245770856.204254
2022-12-07,8243022455.4257
2022-12-08,8249973061.16709
2022-12-09,8253664322.635064
2022-12-12,8244308718.312544
2022-12-13,8249974746.273035
2022-12-14,8251650017.853995
2022-12-15,8254230930.772615
2022-12-16,8255493241.170258
2022-12-19,8245917627.499264
2022-12-20,8236198695.947297
2022-12-21,8231617915.477481
2022-12-22,8237772988.461456
2022-12-23,8234172758.15467
2022-12-26,8206674645.8558655
2022-12-27,8226045394.8002
2022-12-28,8232084592.504135
2022-12-29,8229414757.718275
2022-12-30,8223770737.280307
2023-01-03,8247826019.030613
2023-01-04,8248461487.627539
2023-01-05,8256598655.719573
2023-01-06,8252384272.567733
2023-01-09,8252573783.42201
2023-01-10,8249970789.148498
2023-01-11,8252394430.185101
2023-01-12,8247544345.4182
2023-01-13,8241347624.045551
2023-01-16,8244271234.743952
2023-01-17,8260064374.703545
2023-01-18,8271644946.642936
2023-01-19,8278960175.262485
2023-01-27,8287536408.858128
2023-01-30,8281411363.223318
2023-01-31,8295128322.878185
2023-02-01,8254944271.716701
2023-02-02,8251917871.626835
2023-02-03,8245130614.338727
2023-02-06,8263651300.651687
2023-02-07,8237348101.931735
2023-02-08,8249724681.193559
2023-02-09,8244072997.171782
2023-02-10,8230271361.822321
2023-02-13,8201097004.973576
2023-02-14,8206981444.549557
2023-02-15,8222465737.242663
2023-02-16,8249216758.912266
2023-02-17,8250774891.502562
2023-02-20,8298139267.892299
2023-02-21,8293474702.339668
2023-02-22,8237404329.108241
2023-02-23,8239528601.298013
2023-02-24,8204794354.513202
2023-02-27,8161063725.750367
2023-02-28,8160512027.901088
2023-03-01,8189624517.753791
2023-03-02,8187741423.648665
2023-03-03,8144884327.487688
2023-03-06,8160144598.863969
2023-03-07,8193954600.156286
2023-03-08,8224519649.6654415
2023-03-09,8236315674.910519
2023-03-10,8223288398.948128
2023-03-13,8205686658.358868
2023-03-14,8156540850.401045
2023-03-15,8224501844.472233
2023-03-16,8188342657.334883
2023-03-17,8173330247.091155
2023-03-20,8099722899.276239
2023-03-21,8128810776.999462
2023-03-22,8142803179.991388
2023-03-23,8162438054.335817
2023-03-24,8169410454.122272
2023-03-27,8205097900.819965
2023-03-28,8200247882.106756
2023-03-29,8207518612.541893
2023-03-30,8208038321.996176
2023-03-31,8225120895.701258
2023-04-03,8295011046.135834
2023-04-04,8312044838.160508
2023-04-05,8331274185.22468
2023-04-06,8286073024.593563
2023-04-07,8284619493.055048
2023-04-10,8281717005.770512
2023-04-11,8281410595.623613
2023-04-12,8292863872.329093
2023-04-13,8276664978.874704
2023-04-14,8219343515.695593
2023-04-17,8228318156.955698
2023-04-18,8243787778.310698
2023-04-19,8209970678.909887
2023-04-20,8206791212.041164
2023-04-21,8184174985.341879
2023-04-24,8164313893.196447
2023-04-25,8144572245.091942
2023-04-26,8175461566.303294
2023-04-27,8172833325.182827
2023-04-28,8221275300.145126
2023-05-04,8206584863.632856
2023-05-05,8205982486.643227
2023-05-08,8264577340.396067
2023-05-09,8277917109.382198
2023-05-10,8298135667.069166
2023-05-11,8300844559.686574
2023-05-12,8349875543.896328
2023-05-15,8325043755.065383
2023-05-16,8341691366.932065
2023-05-17,8297888876.75212
2023-05-18,8329760932.178007
2023-05-19,8345049628.251509
2023-05-22,8369092589.120319
2023-05-23,8365711313.983645
2023-05-24,8332120346.4452095
2023-05-25,8341396336.257505
2023-05-26,8344904689.540472
2023-05-29,8403210180.771345
2023-05-30,8421917248.267618
2023-05-31,8414290039.025787
2023-06-01,8438985083.554708
2023-06-02,8475436190.808635
2023-06-05,8509498841.904102
2023-06-06,8560988829.2532625
2023-06-07,8577063340.63279
2023-06-08,8524380779.523685
2023-06-09,8554795770.200695
2023-06-12,8579628704.096695
2023-06-13,8624770390.707905
2023-06-14,8592018855.621304
2023-06-15,8587937922.748277
2023-06-16,8610867009.290821
2023-06-19,8570519093.811716
2023-06-20,8608204470.029325
2023-06-21,8657656795.22262
2023-06-22,8694106910.779915
2023-06-23,8694257547.348978
